@relation BaseHistorica-weka.filters.unsupervised.attribute.Remove-R1

@attribute WMC numeric
@attribute LCOM numeric
@attribute NBD numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute NORM numeric
@attribute SIX numeric
@attribute MLOC numeric
@attribute NAC numeric
@attribute NSF numeric
@attribute NSM numeric
@attribute PAR numeric
@attribute NOI numeric
@attribute NOP numeric
@attribute I numeric
@attribute A numeric
@attribute Dn numeric
@attribute debug numeric
@attribute breakpoint numeric
@attribute refactoring numeric
@attribute CodErro numeric
@attribute qtdeErros numeric
@attribute classe {basic,intermediate,proficient}

@data
4,0.267,1.143,1.333,0.333,0,0,10.857,3.333,0,0.333,0.571,0,1,1,0,0,0,0,1,0,0,basic
4.333,0.222,1.125,1.333,0.333,0,0,9.625,3.333,0,0.333,1.75,0,1,1,0,0,0,0,0,0,0,basic
4.333,0.222,1.125,1.333,0.333,0,0,9.75,3.333,0,0.333,1.75,0,1,1,0,0,0,0,0,0,0,basic
7.333,0.222,1.125,1.333,0.333,0,0,12.25,3.333,0,0.333,1.75,0,1,1,0,0,0,0,0,8,2,basic
7.333,0.222,1.125,1.333,0.333,0,0,12.25,3.333,0,0.333,1.75,0,1,1,0,0,0,0,0,0,0,basic
5.5,0.167,1.125,1.25,0.25,0,0,12.25,2.5,0,0.25,1.75,0,1,1,0,0,0,0,0,0,0,basic
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,basic
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,basic
7.5,0.429,1,1,0.5,0,0,1.4,3.5,0,0,0.933,0,1,1,0,0,0,0,0,4,1,basic
7.5,0.429,1,1,0.5,0,0,1.4,3.5,0,0,0.933,0,1,1,0,0,0,0,0,0,0,basic
5,0.286,1,1,0.333,0,0,1.4,2.333,0,0,0.933,0,1,1,0,0,0,0,0,0,0,basic
7.333,0.508,1,1.333,0.333,0,0,1.409,3.333,0,0,1.227,0,1,1,0,0,0,0,0,0,0,basic
7.333,0.536,1,1.333,0.333,0,0,1.455,3.667,0,0,1.227,0,1,1,0,0,0,0,0,0,0,basic
9.667,0.786,1,1.667,0.333,0,0,1.483,5,0,0,1.379,0,1,1,0,0,0,0,0,0,0,basic
7.25,0.589,1,1.5,0.25,0,0,1.483,3.75,0,0,1.379,0,1,1,0,0,0,0,1,0,0,basic
7.25,0.6,1,1.5,0.25,0,0,1.448,3.75,0,0,1.379,0,1,1,0,0,0,0,0,8,1,basic
7.25,0.6,1,1.5,0.25,0,0,1.448,3.75,0,0,1.379,0,1,1,0,0,0,0,0,4,1,basic
7.5,0.6,1,1.5,0.25,0,0,1.833,4,0,0,1.333,0,1,1,0,0,0,0,0,8,1,basic
7.5,0.6,1,1.5,0.25,0,0,1.833,4,0,0,1.333,0,1,1,0,0,0,0,0,0,0,basic
7.5,0.6,1,1.5,0.25,0,0,1.8,4,0,0,1.333,0,1,1,0,0,0,0,0,0,0,basic
1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,basic
2,0,2,1,0,0,0,34,0,0,1,1,0,1,1,0,0,0,0,0,0,0,basic
2,0,2,1,0,0,0,35,0,0,1,1,0,1,1,0,0,0,0,0,0,0,basic
1,0,2,1,0,0,0,35,0,0,0.5,1,0,1,1,0,0,0,0,1,0,0,basic
1,0,2,1,0,0,0,35,4,0,0.5,1,0,1,1,0,0,0,0,0,0,0,basic
